steig_id;stop_id;name;rbl;direction
1111366140;1085622453;"Vorgartenstraße";5521;"R"
1111366141;1085620086;"Sebaldgasse";991;"R"
1111366142;1085617755;"Julius-Payer-Gasse";3062;"R"
1111366143;1085617792;"Kagran";880;"R"
1111366144;1085617828;"Kagraner Brücke";3060;"R"
1111366145;1085617844;"Kagraner Platz";2375;"R"
1111366146;1085618168;"Nestroyplatz";5708;"R"
1111366147;1085614735;"Alte Donau";3061;"R"
1111366148;1085614996;"Doningasse";997;"R"
1111366149;1085617903;"Kaisermühlen-VIC";5520;"R"
1111366150;1085614839;"Reichsbrücke";5759;"R"
1111366151;1085613725;"Maculangasse/Wagramer Straße";2471;"R"
1111366152;1085618418;"Lieblgasse";3095;"R"
1111366153;1085618953;"Praterstern";5707;"R"
1111366154;1085619058;"Puchgasse";3089;"R"
1111366155;1085615633;"Langfeldgasse";1108;"R"
1111366156;1085615784;"Leopoldauer Platz";5788;"R"
1111366157;1085614154;"Donauinsel";5759;"R"
1111366158;1085614186;"Siebeckstraße";5706;"R"
1111366159;1085614200;"Dopschstraße";1109;"R"
1111366160;1085614229;"Stubentor";10;"R"
1111366161;1085615856;"Tillmanngasse";3094;"R"
1111366162;1085619931;"Schwedenplatz";5504;"R"
1111366163;1085619646;"St.-Michael-Gasse";1110;"R"
1111366164;1085620965;"Martin-Gaunersdorfer-Gasse";5818;"R"
1111366165;1085621056;"Theodor-Kramer-Str.";2476;"R"
1111366166;1085621060;"Hochmuthgasse";2475;"R"
1111366167;1085624098;"Großfeldsiedlung";1100;"R"
1111366168;1085624109;"Rennbahnweg";2668;"R"
1111366169;1085624127;"Anton-Sattler-Gasse";953;"R"
1111366192;1085621842;"Strehlgasse";1239;"H"
1111366193;1085622928;"Währinger Park";1231;"H"
1111366194;1085616124;"Flotowgasse";1234;"H"
1111366195;1085622589;"Weitlofgasse";1247;"H"
1111366196;1085617955;"Kammerergasse";1245;"H"
1111366197;1085618249;"Neustift am Walde";1242;"H"
1111366198;1085619444;"Rodlergasse";1235;"H"
1111366199;1085616331;"Gatterburggasse";2964;"H"
1111366200;1085618377;"Nußdorfer Straße";1230;"H"
1111366201;1085616721;"Gustav-Pick-Gasse";1237;"H"
1111366202;1085616494;"Glanzing";1238;"H"
1111366203;1085615308;"Kleingartenverein Hackenberg";1240;"H"
1111366204;1085615451;"Kratzlgasse";1236;"H"
1111366205;1085615488;"Krottenbachstraße";1233;"H"
1111366206;1085616906;"Hardtgasse";1232;"H"
1111366207;1085614608;"Neustift, Agnesgasse";1241;"H"
1111366208;1085619120;"Spittelau";3516;"H"
